Gene1	Gene2	SysName1	SysName2	Name1	Name2	bOp	pOp	Sep	MOGScore	GOScore	COGSim	ExprSim
14146	14147	b0001	b0002	thrL	thrA	FALSE	0.322	82.000	0.043	1.000		0.395
14147	14148	b0002	b0003	thrA	thrB	TRUE	0.997	2.000	0.133	1.000	Y	0.923
14148	14149	b0003	b0004	thrB	thrC	TRUE	0.997	1.000	0.233	1.000	Y	0.909
14149	14150	b0004	b0005	thrC	yaaX	FALSE	0.096	214.000	0.003	NA		0.415
14151	14152	b0006	b0007	yaaA	yaaJ	FALSE	0.012	70.000	0.028	NA		-0.170
14153	14154	b0008	b0009	talB	mog	FALSE	0.101	115.000	0.042	1.000	N	0.293
14155	14156	b0010	b0011	yaaH	yaaW	FALSE	0.071	149.000	0.043	NA		0.302
14156	14158	b0011	b0013	yaaW	yaaI	TRUE	0.946	26.000	0.500	NA		0.417
14159	14160	b0014	b0015	dnaK	dnaJ	TRUE	0.947	89.000	0.236	0.004	Y	0.842
14160	14161	b0015	b0016	dnaJ	insL-1	FALSE	0.237	147.000	0.000	1.000		0.428
14163	1936200	b0018	b4412	mokC	hokC	TRUE	0.683	-152.000	0.000	NA		NA
1936201	14164	b4413	b0019	sokC	nhaA	FALSE	0.020	483.000	0.000	NA		NA
14164	14165	b0019	b0020	nhaA	nhaR	TRUE	0.793	60.000	0.292	1.000	N	0.476
14166	14167	b0021	b0022	insB-1	insA-1	TRUE	0.989	-81.000	0.000	0.015	Y	0.717
14167	14168	b0022	b0023	insA-1	rpsT	FALSE	0.001	307.000	0.000	1.000	N	-0.085
14169	14170	b0024	b0025	yaaY	ribF	FALSE	0.206	8.000	0.019	NA		0.095
14170	14171	b0025	b0026	ribF	ileS	TRUE	0.944	43.000	0.254	1.000	N	0.740
14171	14172	b0026	b0027	ileS	lspA	TRUE	0.987	0.000	0.045	1.000	N	0.750
14172	14173	b0027	b0028	lspA	fkpB	TRUE	0.678	125.000	0.154	1.000	N	0.739
14173	14174	b0028	b0029	fkpB	ispH	TRUE	0.995	2.000	0.626	1.000	N	0.577
14174	14175	b0029	b0030	ispH	rihC	FALSE	0.014	66.000	0.028	1.000	N	0.051
14175	14176	b0030	b0031	rihC	dapB	FALSE	0.004	167.000	0.003	1.000	N	0.021
14176	14177	b0031	b0032	dapB	carA	FALSE	0.163	456.000	0.034	1.000	Y	0.431
14177	14178	b0032	b0033	carA	carB	TRUE	0.997	18.000	0.345	0.001	Y	0.898
14178	14180	b0033	b0034	carB	caiF	FALSE	0.002	262.000	0.000	NA		0.203
14181	14182	b0035	b0036	caiE	caiD	TRUE	0.813	6.000	0.000	1.000		0.282
14182	14183	b0036	b0037	caiD	caiC	FALSE	0.459	109.000	0.000	0.026	Y	0.237
14183	14184	b0037	b0038	caiC	caiB	FALSE	0.541	74.000	0.154	0.026	N	0.345
